,title,rating,format,genre
173,기묘한 만화,9.62,1,5
174,기사님을 지켜줘,9.83,0,1
175,기사도,9.88,0,6
176,기억흔적,9.77,0,5
177,기적! 우리에게 일어난 일들,9.93,0,2
178,기타맨,9.94,0,2
179,기태류,9.89,0,1
180,길고양이 행진,9.93,0,1
181,길에서 만나다,9.76,0,8
182,길티액스,9.57,0,1
183,김부장,8.87,0,6
184,김왕짱,9.85,0,6
185,깁스맨,9.85,0,2
186,까뱅,8.83,2,4
187,까치우는 날,9.77,0,2
188,꼬드보,8.99,0,0
189,꼬리,9.97,0,5
190,꼬리 있는 연애,9.93,0,0
191,꼬리잡기,9.94,0,5
192,꼬맹이를 부탁해!,9.97,0,0
193,꼰대 관찰자,9.83,0,2
194,꽃 피는 날,9.95,0,0
195,꽃 피우는 남자,9.93,0,0
196,꽃가족,9.92,0,4
197,꽃만 키우는데 너무강함,9.97,0,1
198,꽃미남 저승사자,9.89,0,0
199,꽃밭에솔,9.95,0,2
200,꿀벌과 아카시아,9.96,0,0
201,"꿀잠, 재워주세요!",9.4,0,0
202,꿈에서 자유로,9.93,0,2
203,꿈의 기업,9.97,0,5
204,나 혼자 네크로맨서,9.9,0,1
205,나 혼자 만렙 뉴비,9.86,0,1
206,나노리스트,9.98,0,1
207,나노마신,9.93,0,1
208,나는 귀머거리다,9.98,2,7
209,나는 남 너는 녀,9.69,0,4
210,나는 너를 보았다,9.95,0,5
211,나는 어디에 있는 거니,9.83,1,7
212,나는 어디에나 있다,9.9,0,5
213,나라 구한 전생,9.86,0,2
214,나란의사 그런의사,9.79,0,2
215,나랑 살래?,9.43,0,0
216,"나를 길들여 봐, 차비서",9.13,0,0
217,나를 바꿔줘,9.86,0,2
218,나만 보여!,8.54,0,2
219,나만의 고막남친,9.9,0,0
220,나쁜 마법사의 꿈,8.32,0,1
221,나쁜 쪽으로,9.58,0,2
222,나쁜사람,9.66,2,4
223,나의 계절,9.8,0,0
224,나의 목소리를 들어라,9.95,0,4
225,나의 스마트보이,9.21,0,0
226,나의 우주,9.93,0,0
227,나의 작은 서점,9.97,0,0
228,나의 짝사랑 고백법,9.83,0,0
229,나의 첫번째 새벽,9.94,0,8
230,나의 플랏메이트,9.92,0,2
231,나이트 언더 하트,8.9,0,1
232,나이트런,9.91,0,1
233,나타나주세요!,9.94,0,0
234,"나태 공자, 노력 천재 되다",9.93,0,1
235,낙원의 이론,9.77,0,1
236,낙향문사전,9.73,0,1
237,낚시신공,8.63,0,4
238,난약,9.96,0,1
239,날 가져요,9.94,0,2
240,낢 부럽지 않은 신혼여행기,9.96,2,7
241,낢에게와요,9.88,1,7
242,낢이 사는 이야기,9.9,2,7
243,남과 여,9.98,0,2
244,남기한엘리트만들기,9.94,1,2
245,남다른 신부름,9.9,0,0
246,남자주인공의 여자사람친구입...,9.94,0,0
247,남주서치,9.9,0,0
248,남주의 첫날밤을 가져버렸다,9.98,0,0
249,남편 먹는 여자,9.87,0,2
250,남편을 만렙으로 키우려 합...,9.97,0,0
251,낮에 뜨는 달,9.93,0,2
252,내 ID는 강남미인! - ...,9.96,2,0
253,내 남편과 결혼해줘,9.96,0,0
254,내 룸메이트는 마네킹,9.91,0,0
255,내 몸을 부탁해,9.29,0,6
256,내 어린고양이와 늙은개,9.91,2,7
257,내 여자친구는 상남자,9.97,2,0
258,내 최애가 위험해,9.36,0,0
259,내가 죽기로 결심한 것은,9.96,0,0
260,내가 키운 S급들,9.91,0,1
261,내게 필요한 NO맨스,9.98,0,0
262,내과 박원장,9.92,0,4
263,내남친 킹카만들기,9.55,0,0
264,내일,9.98,1,2
265,내일은 럭키곰스타,9.52,1,4
266,내일은 웹툰,9.88,2,4
267,냄새를 보는 소녀,9.97,0,2
268,냐한남자,9.98,0,0
269,냥하무인,9.93,0,4
270,너에게 나를 던진다,9.54,0,6
271,너에게 하고 싶은 말,9.9,0,2
272,너에게만 보이는,9.97,0,2
273,너와 나의 눈높이,9.86,0,0
274,너와 너 사이,9.94,0,2
275,너의 미소가 함정,9.97,0,0
276,너의 키스씬,9.86,0,0
277,네가 없는 세상,9.95,0,2
278,네가 죽기를 바랄 때가 있...,9.93,0,0
279,네로의 실험실,9.95,1,1
280,네버엔딩달링,9.95,0,5
281,네이버 앱피소드,9.63,2,4
282,노곤하개,9.98,2,7
283,노네임드(NoNameD),9.96,0,5
284,노답소녀,9.59,0,0
285,노력의 결과,9.95,0,5
286,노블레스,9.62,0,1
287,노선도,9.83,0,5
288,녹두전,9.98,0,0
289,놓정동화,9.93,1,4
290,놓지마 정신줄,9.92,2,4
291,놓지마 정신줄 시즌2,9.94,2,4
292,누군가의 로섬,9.95,0,2
293,뉴심:교체인생,9.89,1,2
294,늑대가 되는 법,9.88,0,2
295,늑대와 빨간모자,9.98,0,1
296,늑대처럼 홀로,9.9,0,9
297,늘 푸른 찻집,9.96,0,2
298,니나의 마법서랍,9.97,0,5
299,니편내편,9.89,0,2
300,다꾸남,9.74,0,0
301,다름이 아니라,9.59,0,2
302,다시 또 봄,9.92,0,8
303,다시쓰는 연애사,9.94,0,0
304,다욤이의 다이어트 다이어리,9.26,0,2
305,다이스(DICE),9.39,0,1
306,다함께 이겨내요,9.88,2,8
307,닥터 프로스트 시즌 1~2,9.95,1,2
308,닥터 프로스트 시즌 3~4,9.97,0,2
309,닥터 하운드,9.97,0,5
310,닥터앤닥터 육아일기,9.96,2,7
311,단군할배요,9.91,0,2
312,단편 할머니/나는내일죽는다,9.89,0,2
313,단편.zip,9.63,1,2
314,달달한 그녀,9.71,0,0
315,달로 만든 아이,9.98,0,1
316,달빛세면소,9.59,0,0
317,달수 이야기,9.98,0,4
318,달의 요람,3.8,0,2
319,달이 사라진 밤,9.44,0,0
320,달이 없는 나라,9.96,0,0
321,달콤살벌한 부부,9.97,0,0
322,달콤한 인생,9.95,2,7
323,달콤한 인생_스페셜 에피소드,9.98,0,2
324,닭강정,9.73,0,4
325,닭통령 계양반,9.3,0,2
326,답은 정해져 있다,7.92,0,5
327,당신만 몰라!,9.96,0,0
328,당신의 과녁,9.96,0,2
329,당신의 여자가 되고 싶어요,9.17,0,0
330,당신의 향수,9.98,1,2
331,"대공님, 실수였어요!",9.83,0,0
332,대디고라운드,8.89,0,2
333,대신 심부름을 해다오,9.98,0,2
334,대작,9.93,0,5
335,대표님이 구독하셨습니다,9.52,0,2
336,대학원 탈출일지,9.98,2,7
337,대학일기,9.97,2,4
338,더 게이머,8.52,0,1
339,더 나우,9.91,0,5
340,더 복서,9.91,0,6
341,더 퀸즈,9.4,0,6
342,더 트웰브,9.94,0,5
343,더블클릭,9.91,0,6
344,던전 씹어먹는 아티팩트,9.9,0,1
345,데드데이즈(DEAD DAY...,9.97,0,5
346,데드라이프,9.64,0,6
347,데드퀸,9.96,0,1
348,데모니악,9.95,0,5
349,데빌샷,9.97,0,1
350,데빌카운터,8.83,0,6
351,데우스 엑스 마키나,9.93,2,2
352,데이빗,9.92,0,2
353,데이즈,8.08,0,5
354,덴마,9.54,1,1
355,덴큐,9.77,0,1
356,도깨비 고개,9.86,1,1
357,도롱이,9.97,0,2
358,도를 아십니까,9.91,0,1
359,도리내리,9.78,0,0
360,도망자,9.88,0,1
361,도무지 그애는,9.97,0,2
362,도사 가온,9.92,0,1
363,도와줘우주,9.04,0,2
364,도자기,9.77,2,2
365,도플갱어의 게임,9.93,0,5
366,독립일기,9.97,2,7
367,독신마법사 기숙아파트,9.94,0,0
368,독신으로 살겠다,9.67,0,2
369,돌&아이,9.85,0,2
370,돌아온 럭키짱,3.81,0,6
371,돌아온 여기사,9.88,0,0
372,동경소녀,9.66,2,7
373,동네몬스터,9.89,0,6
374,동네변호사 조들호 시즌1,9.94,0,2
375,동네변호사 조들호 시즌2,8.01,0,2
376,동생친구,9.97,0,0
377,동토의 여명,9.94,0,1
378,동트는 로맨스,9.98,0,0
379,돼지만화,4.55,2,7
380,돼지우리,9.88,0,5
381,두 번 사는 프로듀서,9.88,0,1
382,두 번째 딸로 태어났습니다,9.87,0,0
383,두근거려요,9.96,0,0
384,두근두근 네가 좋아서,9.94,0,0
385,두근두근 마감 중,9.44,0,0
386,두근두근 연극부,8.81,0,0
387,두근두근두근거려,9.95,0,2
388,두번째 생일,9.43,0,5
389,둥굴레차!,9.95,0,1
390,드래곤레시피,9.33,0,1
391,드로잉 레시피,9.96,0,8
392,들개,9.63,0,6
393,등교하는 근식이,9.97,0,6
394,디나운스,9.82,0,2
395,딥(DEEP),9.95,0,5
396,따개비,8.96,0,5
397,땅 보고 걷는 아이,9.95,0,2
398,떨림,8.66,0,0
399,또 다른 사랑,9.96,0,2
400,"또다시, 계약 부부",9.83,0,0
401,또한번 엔딩,9.83,0,0
402,똑 닮은 딸,9.98,0,5
403,뚝배기 깨러 왔습니다,8.54,0,6
404,뜨거운 것이 좋아.,9.66,0,0
405,라나,9.62,0,1
406,라라파루자,9.53,0,6
407,라서드,9.96,0,1
408,라스트 서브미션,9.94,0,2
409,라이징패스트볼,9.51,0,3
410,라일락 200%,9.97,0,0
411,"라커, 오프너",9.93,0,1
412,라크리모사,9.69,0,1
413,랑데뷰,9.95,2,2
414,랜덤채팅의 그녀!,9.44,0,2
415,러브판타지페이퍼,9.94,0,5
416,럭키언럭키,9.96,0,1
417,레드돌,9.87,0,1
418,레드초콜릿,9.84,0,0
419,레드카펫,9.91,0,2
420,레사 시즌1,9.95,0,1
421,레사 시즌2~3,9.97,0,1
422,레이디악숀,8.96,0,0
423,레인보우 로즈,9.93,1,1
424,레지나레나 - 용서받지 못...,9.92,0,0
425,레코닝,9.98,0,1
426,로그아웃,9.73,1,5
427,로딩,9.76,0,2
428,로또 황녀님,9.86,0,0
429,로맨스는 살벌하게,9.31,0,0
430,로맨틱 태평수산,9.96,0,0
431,로베스의 완전감각,9.97,0,1
432,로봇빠찌,8.65,0,1
433,로어 올림푸스,9.93,0,0
434,로판 빙의 만화,9.96,0,0
435,롤랑롤랑,9.98,0,1
436,롭플롭,9.97,0,2
437,루시퍼의 경호원,9.59,0,1
438,루커피쳐,9.96,0,0
439,루크 비셸 따라잡기,9.92,0,0
440,리버스,9.31,0,1
441,리안소울의 엑소클럽,9.79,0,1
442,리얼월드 ; 밸런스붕괴자,8.74,0,1
443,리얼주주,9.87,1,4
444,리즌,9.79,0,5
445,리턴,9.85,0,3
